地點,Date,台幣,台幣結算,描述,日圓,照片,第幾天,類別
千歲北方雪上公園,"January 16, 2024 9:00 (GMT+9) → 14:00",,1452,營業時間：9:00〜16:00（入園截止15:30）,6600,https://www.e-japannavi.com/enjoy/ski/north_snowland/images/main_visual_title.png,01/16(二) 雪上公園-藻岩山,⛱ 景點
旭山動物園,"January 17, 2024 10:30 (GMT+9) → 13:30",,220,企鵝散步11:00、14:30(未定),1000,https://d2ahiw9kb7is19.cloudfront.net/-/media/C4950C007AFA4477861F70851108AD9C.jpg?d=20230523T004503&w=750,01/17 (三) 旭川、青池,⛱ 景點
往旭川拉麵村,"January 17, 2024 13:30 (GMT+9) → 13:45",,0,車程15min,,,01/17 (三) 旭川、青池,🚗 移動
旭川拉麵村,"January 17, 2024 13:45 (GMT+9) → 15:00",,0,,,https://static.gltjp.com/glt/prd/data/directory/14000/13921/20221109_145100_8ea76b29_w1920.jpg,01/17 (三) 旭川、青池,🧁 吃喝
往青池,"January 17, 2024 15:00 (GMT+9) → 16:00",,0,車程1hr,,,01/17 (三) 旭川、青池,🚗 移動
青池&白鬚瀑布夜間點燈,"January 17, 2024 13:45 (GMT+9) → 15:00",,0,"or 富良野歡寒村16:00~20:00
青池&白鬚瀑布夜間點燈 17:00~21:00",,https://scontent-tpe1-1.xx.fbcdn.net/v/t39.30808-6/265013901_4715784805148641_5420089121679229864_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=3635dc&_nc_ohc=yJMqFE_znXYAX_NbegK&_nc_ht=scontent-tpe1-1.xx&oh=00_AfBvWFkhLTyzrHTGGwlgik2zp8OLf_qYoT43JwLY3oD8sw&oe=6589490F,01/17 (三) 旭川、青池,🧁 吃喝
往藻岩山,"January 16, 2024 14:00 (GMT+9) → 15:00",,0,車程1hr,,,01/16(二) 雪上公園-藻岩山,🚗 移動
藻岩山夜景,"January 16, 2024 15:00 (GMT+9) → 17:30",,0,,,https://resources.matcha-jp.com/resize/720x2000/2018/06/02-55560.webp,01/16(二) 雪上公園-藻岩山,⛱ 景點
往狸小路,"January 16, 2024 17:30 (GMT+9) → 18:00",,0,車程30min,,,01/16(二) 雪上公園-藻岩山,🚗 移動
Ricoland來回,"January 15, 2024 18:00 (GMT+9) → 19:30",,0,去程約20分鐘，回程約30分鐘，16:10~17:30逛,,,01/15 (一) 小樽-狸小路-Ricoland,🚗 移動
小樽遊船,"January 14, 2024 18:00 (GMT+9) → 18:40",,440,末班18:00(16:30起每半小時一班，坐一趟40分鐘)出航的前15分鐘至售票處集合,2000,https://i0.wp.com/wkitty.tw/wp-content/uploads/2017/07/1499659705-8377c41ab640cd09675f414653c60c4b.jpg?w=1024&ssl=1,01/14(日) 洞爺湖-小樽,⛱ 景點
往機場,"January 18, 2024 10:30 (GMT+9) → 11:30",,0,約1hr,,,01/18(四) 北海道神宮-新千歲-台北,🚗 移動
航班 CI-131,"January 18, 2024 14:40 (GMT+9) → 18:20",,0,"14:40 新千歲機場 →
18:20 桃園機場 ",,,01/18(四) 北海道神宮-新千歲-台北,🚗 移動
景觀餐廳GENOVA,"January 12, 2024 18:00 (GMT+9) → 19:00",,0,11:00~20:30(最後點餐20點),,,01/12(五)函館,🧁 吃喝
夢幻彩燈節,"January 12, 2024 16:00 (GMT+9) → 22:00",,0,"近纜車&金森倉庫中間地帶(二十間坂、八幡坂、開港通り、基坂)
看完搭市電回飯店(十字街口→魚市場通)",,https://www.tabirai.net/tabirai-uploader/img/0000781/s1_0000781.jpg,01/12(五)函館,⛱ 景點
グランパレット函館 (Gran Palette 函館),"January 12, 2024 → January 14, 2024",,13576.64,"地址 北海道函館市大手町1-1 〒040-0064
電話 0138261330",61712,,01/12(五)函館,🏡 住宿
前往大沼,"January 13, 2024 11:00 (GMT+9) → 11:40",,0,車程40min,,,01/13(六) 大沼-五稜郭,🚗 移動
大沼國家公園,"January 13, 2024 11:40 (GMT+9) → 15:40",,0,釣魚1600,,https://cdn.zekkei-japan.jp/images/articles/c31d04513492934ab212687971013481.jpg,01/13(六) 大沼-五稜郭,⛱ 景點
前往五稜郭,"January 13, 2024 15:40 (GMT+9) → 16:10",,0,車程30min,,,01/13(六) 大沼-五稜郭,🚗 移動
五稜郭公園&展望台,"January 13, 2024 16:10 (GMT+9) → 17:30",,220,亮燈時間 日落~19:00(未定),1000,https://www.goryokaku-tower.co.jp/cms/wp-content/uploads/2023/12/78d7d7d7b055ed8de874c842fa86de84.jpg,01/13(六) 大沼-五稜郭,⛱ 景點
回飯店,,,0,車程15min,,,01/13(六) 大沼-五稜郭,🚗 移動
五島軒,"January 12, 2024 18:00 (GMT+9) → 19:00",,0,,,,01/13(六) 大沼-五稜郭,🧁 吃喝
えびかに合戦札幌本店,"January 12, 2024 18:00 (GMT+9) → 19:00",,0,,,https://f-45.jp/wp-content/uploads/2014/11/767a4c494c6725fc8c2e22a204fb3090.jpg,01/15 (一) 小樽-狸小路-Ricoland,🧁 吃喝
グランパレット函館 (Gran Palette 函館),"January 12, 2024 → January 14, 2024",,0,"地址 北海道函館市大手町1-1 〒040-0064
電話 0138261330",,,01/13(六) 大沼-五稜郭,🏡 住宿
小樽運河托麗芙特酒店 Hotel Torifito Otaru Canal,"January 14, 2024 → January 15, 2024",,10951.6,"地址 北海道小樽市色內1丁目5番7號
電話 0134-20-2200",49780,,01/14(日) 洞爺湖-小樽,🏡 住宿
札幌白色燈節,"January 15, 2024 19:30 (GMT+9) → 22:00",,0,近札幌車站(大通公園1丁目~8丁目、南一條大道 南1條西1丁目~3丁目、札幌站前大道 北4條~南4條),,https://www.sapporo.travel/cms/wp-content/uploads/2020/10/illmi_2016_main-1200x600-1.jpg,01/15 (一) 小樽-狸小路-Ricoland,⛱ 景點
相鉄フレッサイン札幌すすきの 相鉄Fresa Inn Sapporo-Susukino,"January 15, 2024 → January 18, 2024",,17552.04,"地址 北海道札幌市中央区南5条西2丁目6-1
電話 011-520-2203",79782,,01/15 (一) 小樽-狸小路-Ricoland,🏡 住宿
往狸小路,"January 17, 2024 17:00 (GMT+9) → 19:30",,0,車程2.5hr,,,01/17 (三) 旭川、青池,🚗 移動
BIC CAMERA札幌店,,,0,營業時間：10:00~20:00,,https://rimage.gnst.jp/livejapan.com/public/img/spot/lj/00/10/lj0010388/lj0010388_5cf0c9bb7e478_main.jpg?20210616050153&q=80&rw=616,01/16(二) 雪上公園-藻岩山,🛍️ 逛街
相鉄フレッサイン札幌すすきの 相鉄Fresa Inn Sapporo-Susukino,"January 15, 2024 → January 18, 2024",,0,"地址 北海道札幌市中央区南5条西2丁目6-1
電話 011-520-2203",,,01/16(二) 雪上公園-藻岩山,🏡 住宿
相鉄フレッサイン札幌すすきの 相鉄Fresa Inn Sapporo-Susukino,"January 15, 2024 → January 18, 2024",,0,"地址 北海道札幌市中央区南5条西2丁目6-1
電話 011-520-2203",,,01/17 (三) 旭川、青池,🏡 住宿
家→桃園機場,"January 11, 2024 5:30 → 6:35",,0,"05:30 搭車
06:35 第二航廈",,,01/11(四) 台北-千歲-登別,🚗 移動
航班 CI-130,"January 11, 2024 8:35 → 13:10",21345,21345,"08:35 桃園機場 →
13:10 新千歲機場",,,01/11(四) 台北-千歲-登別,🚗 移動
前往登別,"January 11, 2024 14:00 (GMT+9) → 15:00",,0,車程大約1hr,,,01/11(四) 台北-千歲-登別,🚗 移動
登別棕熊牧場,"January 11, 2024 15:00 (GMT+9) → 15:30",573,573,,,https://bearpark.jp/wp-content/uploads/2019/01/slider02.jpg,01/11(四) 台北-千歲-登別,⛱ 景點
地獄谷~大湯沼,"January 11, 2024 15:30 (GMT+9) → 16:30",,0,,,https://p9u5y3x6.stackpathcdn.com/wp-content/uploads/2019/03/%E5%9C%B0%E7%8D%84%E8%B0%B7%E2%91%A0.jpg,01/11(四) 台北-千歲-登別,⛱ 景點
極樂通商店街,"January 11, 2024 17:00 (GMT+9) → 18:00",,0,閻魔堂(17/20表演)，溫泉街約七八點就關了,,https://rocky.tw/wp-content/uploads/f79459ba3c9e299b246aae809fd9a71f.jpg,01/11(四) 台北-千歲-登別,🛍️ 逛街
溫泉飯店-登別 石水亭 フロント,"January 11, 2024 → January 12, 2024",,18483.52,"地址 059-0596 北海道登別市登別温泉町２０３−１
電話 0570-026570",84016,,01/11(四) 台北-千歲-登別,🏡 住宿
飯店晚餐,"January 11, 2024 19:00 (GMT+9) → 20:00",,0,,,,01/11(四) 台北-千歲-登別,🧁 吃喝
湯屋,"January 11, 2024 22:00 (GMT+9) → 23:00",,0,,,,01/11(四) 台北-千歲-登別,
